,0,1,2
C0001,"('C0181', 0.0)","('C0137', 0.003785418331241415)","('C0152', 0.012018156175921106)"
C0002,"('C0132', 0.0)","('C0157', 0.006279855844313786)","('C0036', 0.007308264292685607)"
C0003,"('C0178', 0.0)","('C0038', 0.009053276500295582)","('C0086', 0.015606645229814642)"
C0004,"('C0155', 0.0)","('C0053', 0.012554241430923208)","('C0093', 0.021016730099175485)"
C0005,"('C0073', 0.0)","('C0031', 0.014386777761798863)","('C0159', 0.01578716373404998)"
C0006,"('C0039', 0.0)","('C0079', 0.006580720018039388)","('C0037', 0.013123148232150272)"
C0007,"('C0035', 0.0)","('C0146', 0.004261330751498815)","('C0027', 0.00493417244910338)"
C0008,"('C0124', 0.0)","('C0037', 0.003982347608589065)","('C0079', 0.010305965514535387)"
C0009,"('C0020', 0.0)","('C0198', 0.014173437711338721)","('C0110', 0.019326420468606553)"
C0010,"('C0186', 0.0)","('C0029', 0.024118366217403264)","('C0062', 0.03737280063445236)"
C0011,"('C0158', 0.0)","('C0139', 0.007373907385134965)","('C0154', 0.014419599308023612)"
C0012,"('C0093', 0.0)","('C0023', 0.0348619523482675)","('C0053', 0.03971954118951426)"
C0013,"('C0045', 0.0)","('C0143', 0.0116188273635216)","('C0068', 0.024107425701995533)"
C0014,"('C0058', 0.0)","('C0151', 0.04249296184549589)","('C0097', 0.05180334045788415)"
C0015,"('C0094', 0.0)","('C0043', 0.005191274561196613)","('C0119', 0.014310194153941191)"
C0016,"('C0194', 0.0)","('C0048', 0.0028718852946556794)","('C0183', 0.012844165089241244)"
C0017,"('C0200', 0.0)","('C0153', 0.0026147831825630297)","('C0018', 0.00493964270680769)"
C0018,"('C0162', 0.0)","('C0200', 0.01115385545867198)","('C0105', 0.012718349162046505)"
C0019,"('C0172', 0.0)","('C0061', 0.008686769234120484)","('C0088', 0.026016545640728306)"
C0020,"('C0198', 0.0)","('C0110', 0.005152982757267832)","('C0009', 0.010891283088875214)"
